NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2013;33;RJ;3303302;Niterói;33326207;CENTRO EDUCACIONAL GOMES PEREIRA;4;1;29;0;26;89.66;517.59;543.52;532.19;533.97;552.31;;;;50.90;;59.10;40.90;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33326207;CENTRO EDUCACIONAL GOMES PEREIRA;4;1;23;0;22;95.65;524.11;604.31;559.3;540.22;657.27;;;Grupo 4;60.50;72.73;78.80;21.20;0.00;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33344221;ISBEN EDUCACAO E CULTURA;4;1;22;0;19;86.36;511.62;556.33;517.77;563.46;589.47;;;;66.70;;78.90;21.10;0.00;De 1 a 30 alunos
2014;33;RJ;3303302;Niterói;33344221;ISBEN EDUCACAO E CULTURA;4;1;13;0;11;84.62;496.91;555.59;498.86;489.21;552.73;;;;73.00;54.55;64.60;35.40;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33344221;ISBEN EDUCACAO E CULTURA;4;1;15;0;14;93.33;502.36;589.21;519.56;535.41;588.57;;;Grupo 5;75.00;57.14;72.10;27.90;0.00;De 1 a 30 alunos
2011;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;16;;14;87.50;540.11;541.89;569.25;640.6;585.71;;;;;;80.70;19.30;0.00;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;20;1;17;85.00;570.71;592.74;572.99;618.58;711.76;;;;57.10;;90.10;9.90;0.00;De 1 a 30 alunos
2010;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;21;;13;61.90;506.4;589.15;544.77;511.76;625.00;;;;;;88.30;10.40;1.30;De 1 a 30 alunos
2014;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;13;0;12;92.31;554.59;592.03;557.35;590.45;640.00;;;;66.70;83.33;75.30;24.70;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;20;0;20;100.00;533.63;613.85;550.89;573.93;638.00;;;Grupo 5;59.50;45.00;89.20;10.80;0.00;De 1 a 30 alunos
2009;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;24;;18;75.00;541.76;534.17;523.76;494.27;640.28;;;;;;82.90;15.90;1.20;De 1 a 30 alunos
2012;33;RJ;3303302;Niterói;33345201;COLEGIO PLUZ;4;1;25;;20;80.00;549.19;580.7;542.02;614.06;610.00;;;;;;81.60;17.10;1.30;De 1 a 30 alunos
2010;33;RJ;3303302;Niterói;33442304;DORNELLAS COLEGIO E CURSO LTDA;4;1;14;;12;85.70;564.23;632.08;612.98;670.42;710.42;;;;;;83.90;16.10;0.00;De 1 a 30 alunos
2011;33;RJ;3303302;Niterói;33442304;COLEGIO CURSO INTELLECTUS - UNIDADE OCEANICA;4;1;30;;26;86.67;564.47;562.12;605.61;610.41;651.54;;;;;;76.90;22.30;0.80;De 1 a 30 alunos
2012;33;RJ;3303302;Niterói;33442304;COLEGIO CURSO INTELLECTUS - UNIDADE OCEANICA;4;1;43;;42;97.67;551.51;602.11;559.96;650.75;582.38;;;;;;83.30;16.10;0.60;De 31 a 60 alunos
2013;33;RJ;3303302;Niterói;33442304;COLEGIO CURSO INTELLECTUS - UNIDADE OCEANICA;4;1;52;0;48;92.31;568.88;611.14;584.76;646.2;621.25;;;;89.20;;89.60;10.40;0.00;De 31 a 60 alunos
2014;33;RJ;3303302;Niterói;33442304;COLEGIO CURSO INTELLECTUS - UNIDADE OCEANICA;4;1;73;0;68;93.15;563.12;624.16;582.72;586.13;652.35;;;;89.20;66.18;88.70;11.30;0.00;De 61 a 90 alunos
2015;33;RJ;3303302;Niterói;33442304;COLEGIO CURSO INTELLECTUS - UNIDADE OCEANICA;4;1;82;0;78;95.12;550.85;629.7;570.65;549.28;671.03;;;Grupo 5;100.00;61.54;92.00;8.00;0.00;De 61 a 90 alunos
2012;33;RJ;3303302;Niterói;33444315;CENTRO EDUCACIONAL GIRASSOIS;4;1;28;;17;60.71;434.78;516.41;500.94;486.68;547.06;;;;;;86.50;10.60;2.90;De 1 a 30 alunos
2013;33;RJ;3303302;Niterói;33444315;CENTRO EDUCACIONAL GIRASSOIS;4;1;22;0;15;68.18;453.73;509.5;488.35;494.53;532.00;;;;30.80;;96.70;3.30;0.00;De 1 a 30 alunos
2014;33;RJ;3303302;Niterói;33444315;CENTRO EDUCACIONAL GIRASSOIS;4;1;27;0;24;88.89;465.18;543.37;525.39;454.48;561.67;;;;33.30;91.67;90.00;10.00;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33444315;CENTRO EDUCACIONAL GIRASSOIS;4;1;19;0;13;68.42;452.49;560.97;528.74;411.07;563.08;;;Grupo 3;31.40;100.00;95.40;4.60;0.00;De 1 a 30 alunos
