NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2012;33;RJ;3303302;Niterói;33150931;COLEGIO E CURSO PONTO DE ENSINO;4;1;152;;143;94.08;592.71;643.89;585.66;691;663.78;;;;;;98.10;1.90;0.00;Maior que 90 alunos
2015;33;RJ;3303302;Niterói;33150931;COLEGIO E CURSO PONTO DE ENSINO;4;1;191;0;182;95.29;580.36;647.96;581.34;641.76;720.66;;;Grupo 6;75.50;0.00;92.80;7.20;0.00;Maior que 90 alunos
2011;33;RJ;3303302;Niterói;33150931;COLEGIO E CURSO PONTO DE ENSINO;4;1;207;;149;71.98;595.84;597.34;617.1;699.65;697.85;;;;;;90.30;9.20;0.50;Maior que 90 alunos
2013;33;RJ;3303302;Niterói;33150931;COLEGIO E CURSO PONTO DE ENSINO;4;1;156;0;142;91.03;592.38;634.31;577.84;660.81;685.92;;;;90.40;;85.50;14.50;0.00;Maior que 90 alunos
2014;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;42;0;38;90.48;509.64;574.82;541.03;502.59;604.21;;;;48.70;39.47;59.80;37.60;2.60;De 31 a 60 alunos
2009;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;56;;34;60.70;605.24;611.85;575.95;609.29;577.21;;;;;;75.00;25.00;0.00;De 31 a 60 alunos
2012;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;55;;53;96.36;516.93;577.52;531.47;576.52;590.19;;;;;;55.00;44.40;0.60;De 31 a 60 alunos
2013;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;49;0;44;89.80;518.94;571.81;532.42;542.22;580.00;;;;61.10;;63.80;34.50;1.70;De 31 a 60 alunos
2010;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;60;;62;100.00;540.69;591.07;570.82;564.32;642.34;;;;;;78.80;19.90;1.30;De 31 a 60 alunos
2011;33;RJ;3303302;Niterói;33153442;VOLTAIRE COLEGIO E VESTIBULARES;4;1;42;;34;80.95;523.34;520.87;567.66;574.15;604.56;;;;;;;;;De 31 a 60 alunos
